GE;RU;NUM
ნული;НУЛИ;0
ერთი;ЭРТИ;1
ორი;ОРИ;2
სამი;САМИ;3
ოთხი;ОТХИ;4
ხუთი;ХУТИ;5
ექვსი;ЭКВСИ;6
შვიდი;ШВИДИ;7
რვა;РВА;8
ცხრა;ЦХРА;9
ათი;АТИ;10
თერთმეტი;ТЭРТМЕТИ;11
თორმეტი;ТОРМЕТИ;12
ცამეტი;ЦАМЕТИ;13
თოთხმეტი;ТОТХМЕТИ;14
თხუთმეტი;ТХУТМЕТИ;15
თექვსმეტი;ТЭКВСМЕТИ;16
ჩვიდმეტი;ЧВИДМЕТИ;17
თვრამეტი;ТВРАМЕТИ;18
ცხრამეტი;ЦХРАМЕТИ;19
ოცი;ОЦИ;20
ოცდაერთი;ОЦДАЭРТИ;21
ოცდაორი;ОЦДАОРИ;22
ოცდასამი;ОЦДАСАМИ;23
ოცდაოთხი;ОЦДАОТХИ;24
ოცდახუთი;ОЦДАХУТИ;25
ოცდაექვსი;ОЦДАЭКВСИ;26
ოცდაშვიდი;ОЦДАШВИДИ;27
ოცდარვა;ОЦДАРВА;28
ოცდაცხრა;ОЦДАЦХРА;29
ოცდაათი;ОЦДААТИ;30
ოცდათერთმეტი;ОЦДАТЭРТМЕТИ;31
ოცდათორმეტი;ОЦДАТОРМЕТИ;32
ოცდაცამეტი;ОЦДАЦАМЕТИ;33
ოცდათოთხმეტი;ОЦДАТОТХМЕТИ;34
ოცდათხუთმეტი;ОЦДАТХУТМЕТИ;35
ოცდათექვსმეტი;ОЦДАТЭКВСМЕТИ;36
ოცდაჩვიდმეტი;ОЦДАЧВИДМЕТИ;37
ოცდათვრამეტი;ОЦДАТВРАМЕТИ;38
ოცდაცხრამეტი;ОЦДАЦХРАМЕТИ;39
ორმოცი;ОРМОЦИ;40
ორმოცდაერთი;ОРМОЦДАЭРТИ;41
ორმოცდაორი;ОРМОЦДАОРИ;42
ორმოცდასამი;ОРМОЦДАСАМИ;43
ორმოცდაოთხი;ОРМОЦДАОТХИ;44
ორმოცდახუთი;ОРМОЦДАХУТИ;45
ორმოცდაექვსი;ОРМОЦДАЭКВСИ;46
ორმოცდაშვიდი;ОРМОЦДАШВИДИ;47
ორმოცდარვა;ОРМОЦДАРВА;48
ორმოცდაცხრა;ОРМОЦДАЦХРА;49
ორმოცდაათი;ОРМОЦДААТИ;50
ორმოცდათერთმეტი;ОРМОЦДАТЭРТМЕТИ;51
ორმოცდათორმეტი;ОРМОЦДАТОРМЕТИ;52
ორმოცდაცამეტი;ОРМОЦДАЦАМЕТИ;53
ორმოცდათოთხმეტი;ОРМОЦДАТОТХМЕТИ;54
ორმოცდათხუთმეტი;ОРМОЦДАТХУТМЕТИ;55
ორმოცდათექვსმეტი;ОРМОЦДАТЭКВСМЕТИ;56
ორმოცდაჩვიდმეტი;ОРМОЦДАЧВИДМЕТИ;57
ორმოცდათვრამეტი;ОРМОЦДАТВРАМЕТИ;58
ორმოცდაცხრამეტი;ОРМОЦДАЦХРАМЕТИ;59
სამოცი;САМОЦИ;60
სამოცდაერთი;САМОЦДАЭРТИ;61
სამოცდაორი;САМОЦДАОРИ;62
სამოცდასამი;САМОЦДАСАМИ;63
სამოცდაოთხი;САМОЦДАОТХИ;64
სამოცდახუთი;САМОЦДАХУТИ;65
სამოცდაექვსი;САМОЦДАЭКВСИ;66
სამოცდაშვიდი;САМОЦДАШВИДИ;67
სამოცდარვა;САМОЦДАРВА;68
სამოცდაცხრა;САМОЦДАЦХРА;69
სამოცდაათი;САМОЦДААТИ;70
სამოცდათერთმეტი;САМОЦДАТЭРТМЕТИ;71
სამოცდათორმეტი;САМОЦДАТОРМЕТИ;72
სამოცდაცამეტი;САМОЦДАЦАМЕТИ;73
სამოცდათოთხმეტი;САМОЦДАТОТХМЕТИ;74
სამოცდათხუთმეტი;САМОЦДАТХУТМЕТИ;75
სამოცდათექვსმეტი;САМОЦДАТЭКВСМЕТИ;76
სამოცდაჩვიდმეტი;САМОЦДАЧВИДМЕТИ;77
სამოცდათვრამეტი;САМОЦДАТВАМЕТИ;78
სამოცდაცხრამეტი;САМОЦДАЦХРАМЕТИ;79
ოთხმოცი;ОТХМОЦИ;80
ოთხმოცდაერთი;ОТХМОЦДАЭРТИ;81
ოთხმოცდაორი;ОТХМОЦДАОРИ;82
ოთხმოცდასამი;ОТХМОЦДАСАМИ;83
ოთხმოცდაოთხი;ОТХМОЦДАОТХИ;84
ოთხმოცდახუთი;ОТХМОЦДАХУТИ;85
ოთხმოცდაექვსი;ОТХМОЦДАЭКВСИ;86
ოთხმოცდაშვიდი;ОТХМОЦДАШВИДИ;87
ოთხმოცდარვა;ОТХМОЦДАРВА;88
ოთხმოცდაცხრა;ОТХМОЦДАЦХРА;89
ოთხმოცდაათი;ОТХМОЦДААТИ;90
ოთხმოცდათერთმეტი;ОТХМОЦДАТЭРТМЕТИ;91
ოთხმოცდათორმეტი;ОТХМОЦДАТОРМЕТИ;92
ოთხმოცდაცამეტი;ОТХМОЦДАЦАМЕТИ;93
ოთხმოცდათოთხმეტი;ОТХМОЦДАТОТХМЕТИ;94
ოთხმოცდათხუთმეტი;ОТХМОЦДАТХУТМЕТИ;95
ოთხმოცდათექვსმეტი;ОТХМОЦДАТЭКВСМЕТИ;96
ოთხმოცდაჩვიდმეტი;ОТХМОЦДАЧВИДМЕТИ;97
ოთხმოცდათვრამეტი;ОТХМОЦДАТВАМЕТИ;98
ოთხმოცდაცხრამეტი;ОТХМОЦДАЦХРАМЕТИ;99
ასი;АСИ;100
