GE;GERU;RU;POS;LEVEL;TOPIC1;TOPIC2;TOPIC3;IMAGE_FILE;EOL
გარგარი;ГАРГАРИ;АБРИКОС;NOUN;1;MEAL;;;apricot.png;
ფორთოხალი;ПОРТОХАЛИ;АПЕЛЬСИН;NOUN;1;MEAL;;;orange.png;
საზამთრო;САЗАМТРО;АРБУЗ;NOUN;1;MEAL;;;watermelon.png;
ბებია;БЭБИА;БАБУШКА;NOUN;1;RELATIONSHIPS;;;grandma.png;
ქილა;КИЛА;БАНКА;NOUN;1;MISC;;;can.png;
თეთრი;ТЭТРИ;БЕЛЫЙ;ADJECTIVE;1;COLOR;;;white.png;
ნაპირი;НАКИРИ;БЕРЕГ;NOUN;1;NATURE;;;shore.png;
ახლოს;АХЛОС;БЛИЗКО;ADVERB;2;PLACEDIRECTION;;;;
ავად;АВАД;БОЛЬНОЙ;ADJECTIVE;1;BODYFEELINGS;;;sick.png;
მეტი;МЭТИ;БОЛЬШЕ;ADVERB;1;MISC;;;;
დიდი;ДИДИ;БОЛЬШОЙ, ВЕЛИКИЙ;ADJECTIVE;1;MISC;;;;
ძმა;ДЗМА;БРАТ;NOUN;1;RELATIONSHIPS;;;brother.png;
ბოთლი;БОТЛИ;БУТЫЛКА;NOUN;1;MISC;;;bottle.png;
მომავალ;МОМАВАЛ;В БУДУЩЕМ;ADVERB;1;TIMEANDDATE;;;;
შარშან;ШАРШАН;В ПРОШЛОМ ГОДУ;ADVERB;1;TIMEANDDATE;;;;
თქვენი;ТКВЭНИ;ВАШЕ;PRONOUN;1;RELATIONSHIPS;;;;
გაზაფხული;ГАЗАПХУЛИ;ВЕСНА;NOUN;2;NATURE;;;;
ქარი;КАРИ;ВЕТЕР;NOUN;2;NATURE;;;wind.png;
საღამო;САГАМО;ВЕЧЕР;NOUN;1;TIMEANDDATE;;;;
ყურძენი;КУРДЗЕНИ;ВИНОГРАД;NOUN;1;MEAL;;;grape.png;
ალუბალი;АЛУБАЛИ;ВИШНЯ;NOUN;1;MEAL;;;wild_cherry.png;
გემო;ГЭМО;ВКУС;NOUN;1;BODYFEELINGS;;;;
გემრიელი;ГЭМРИЭЛИ;ВКУСНЫЙ;ADJECTIVE;1;MEAL;;;;
ქვემოთ;КВЭМОТ;ВНИЗ;NOUN;2;PLACEDIRECTION;;;;
ქვევით;КВЭВИТ;ВНИЗ;NOUN;2;PLACEDIRECTION;;;;
შიგნით;ШИЗНИТ;ВНУТРИ;ADVERB;1;PLACEDIRECTION;;;;
დროზე;ДРОЗЭ;ВОВРЕМЯ;ADVERB;2;TIMEANDDATE;;;;
წყალი;ЦКАЛИ;ВОДА;NOUN;1;MEAL;;;water.png;
შეყვარებული;ШЭКВАРЭБУЛИ;ВОЗЛЮБЛЕННЫЙ;NOUN;1;RELATIONSHIPS;;;;
ალბათ;АЛБАТ;ВОЗМОЖНО;ADVERB;1;MISC;;;;
აიღეთ;АИГЭТ;ВОЗЬМИ(ТЕ);VERB;2;MISC;;;take.png;
ინებეთ;ИНЭБЭТ;ВОЗЬМИТЕ (НАТЕ);VERB;2;MISC;;;here_please.png;
საერთოდ;САЭРТОД;ВООБЩЕ;ADVERB;2;MISC;;;;
დრო;ДРО;ВРЕМЯ;NOUN;1;TIMEANDDATE;;;;
ყველაფერი;КВЭЛАПЭРИ;ВСЁ (EVERYTHING);PRONOUN;2;MISC;;;;
მორჩა;МОРЧА;ВСЁ (КОНЕЦ);PRONOUN;1;RELATIONSHIPS;;;thats_all.png;
ჯერ კიდევ;ДЖЭР КИДЭВ;ВСЁ ЕЩЕ;ADVERB;1;TIMEANDDATE;;;;
